license_plate,serviceOnDuty,id,observationDateTime,location.type,location.coordinates,emergencyVehicleType,location.longitudes,location.latitudes,coordinates_formatted
KA51G5249,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:13+00:00,Point,"[77.575226, 12.962932]",,77.575226,12.962932,"77.575226, 12.962932"
KA02G3769,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:14+00:00,Point,"[77.600571, 12.928319]",AMBULANCE,77.600571,12.928319,"77.600571, 12.928319"
KA01G6694,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:15+00:00,Point,"[77.520866, 13.027689]",,77.520866,13.027689,"77.520866, 13.027689"
KA40G518,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:20+00:00,Point,"[77.536041, 12.982915]",AMBULANCE,77.536041,12.982915,"77.536041, 12.982915"
KA51G5230,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:22+00:00,Point,"[77.596046, 13.099894]",AMBULANCE,77.596046,13.099894,"77.596046, 13.099894"
KA51G5241,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:22+00:00,Point,"[77.771027, 12.779058]",,77.771027,12.779058,"77.771027, 12.779058"
KA51G5256,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:24+00:00,Point,"[77.657806, 12.864389]",AMBULANCE,77.657806,12.864389,"77.657806, 12.864389"
KA51G5232,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:25+00:00,Point,"[77.692299, 13.008897]",AMBULANCE,77.692299,13.008897,"77.692299, 13.008897"
KA51G5229,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:28+00:00,Point,"[77.593239, 12.925769]",,77.593239,12.925769,"77.593239, 12.925769"
KA51G5247,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:29+00:00,Point,"[77.57338, 12.9622]",AMBULANCE,77.57338,12.9622,"77.57338, 12.9622"
KA01G6693,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:29+00:00,Point,"[77.51265, 12.804509]",AMBULANCE,77.51265,12.804509,"77.51265, 12.804509"
KA51G5236,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:32+00:00,Point,"[77.561264, 13.172339]",,77.561264,13.172339,"77.561264, 13.172339"
KA40G430,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:33+00:00,Point,"[77.594734, 12.940331]",AMBULANCE,77.594734,12.940331,"77.594734, 12.940331"
KA51G5029,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:34+00:00,Point,"[77.504372, 13.00339]",,77.504372,13.00339,"77.504372, 13.00339"
KA51G5024,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:36+00:00,Point,"[77.645226, 12.983802]",,77.645226,12.983802,"77.645226, 12.983802"
KA51G5246,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:37+00:00,Point,"[77.579903, 12.813839]",AMBULANCE,77.579903,12.813839,"77.579903, 12.813839"
KA51G5026,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:38+00:00,Point,"[77.618523, 13.020647]",AMBULANCE,77.618523,13.020647,"77.618523, 13.020647"
KA51G5031,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:39+00:00,Point,"[77.603615, 12.887189]",,77.603615,12.887189,"77.603615, 12.887189"
KA51G5025,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:42+00:00,Point,"[77.475639, 12.987355]",,77.475639,12.987355,"77.475639, 12.987355"
KA40G483,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:44+00:00,Point,"[77.609383, 12.941291]",,77.609383,12.941291,"77.609383, 12.941291"
KA51G5238,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:46+00:00,Point,"[77.60096, 12.958934]",AMBULANCE,77.60096,12.958934,"77.60096, 12.958934"
KA51G5030,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:48+00:00,Point,"[77.638138, 12.983175]",,77.638138,12.983175,"77.638138, 12.983175"
KA51G5224,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:48+00:00,Point,"[77.595695, 12.879295]",,77.595695,12.879295,"77.595695, 12.879295"
KA51G5234,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:48+00:00,Point,"[77.553444, 12.990286]",AMBULANCE,77.553444,12.990286,"77.553444, 12.990286"
KA01G6695,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:50+00:00,Point,"[77.564529, 12.922872]",,77.564529,12.922872,"77.564529, 12.922872"
KA51G5258,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:51+00:00,Point,"[77.645157, 12.983821]",,77.645157,12.983821,"77.645157, 12.983821"
KA51G5251,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:51+00:00,Point,"[77.583054, 12.973256]",AMBULANCE,77.583054,12.973256,"77.583054, 12.973256"
KA51G5037,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:52+00:00,Point,"[77.540596, 13.006729]",,77.540596,13.006729,"77.540596, 13.006729"
KA51G5027,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:52+00:00,Point,"[77.617966, 12.972667]",AMBULANCE,77.617966,12.972667,"77.617966, 12.972667"
KA01G6750,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:52+00:00,Point,"[77.38353, 13.024648]",,77.38353,13.024648,"77.38353, 13.024648"
KA51G5040,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:52+00:00,Point,"[77.566589, 12.88414]",AMBULANCE,77.566589,12.88414,"77.566589, 12.88414"
KA01G6713,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:54+00:00,Point,"[77.594635, 12.940234]",AMBULANCE,77.594635,12.940234,"77.594635, 12.940234"
KA02G1658,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-01-31 18:30:56+00:00,Point,"[77.483643, 12.909007]",MOTORCYCLE AMBULANCE,77.483643,12.909007,"77.483643, 12.909007"
